Context,Question,Actual Answer,Generated SQL
CREATE TABLE head (age INTEGER),How many heads of the departments are older than 56 ?,SELECT COUNT(*) FROM head WHERE age > 56,SELECT COUNT(*) FROM head WHERE age > 56
"CREATE TABLE head (name VARCHAR, born_state VARCHAR, age VARCHAR)","List the name, born state and age of the heads of departments ordered by age.","SELECT name, born_state, age FROM head ORDER BY age","SELECT name, born_state, age FROM head ORDER BY age"
"CREATE TABLE department (creation VARCHAR, name VARCHAR, budget_in_billions VARCHAR)","List the creation year, name and budget of each department.","SELECT creation, name, budget_in_billions FROM department","SELECT creation, name, budget_in_billions FROM department GROUP BY department_in_billions"
CREATE TABLE department (budget_in_billions INTEGER),What are the maximum and minimum budget of the departments?,"SELECT MAX(budget_in_billions), MIN(budget_in_billions) FROM department","SELECT MAX(budget_in_billions), MIN(budget_in_billions) FROM department"
"CREATE TABLE department (num_employees INTEGER, ranking INTEGER)",What is the average number of employees of the departments whose rank is between 10 and 15?,SELECT AVG(num_employees) FROM department WHERE ranking BETWEEN 10 AND 15,SELECT AVG(num_employees) FROM department WHERE ranking BETWEEN 10 AND 15
"CREATE TABLE head (name VARCHAR, born_state VARCHAR)",What are the names of the heads who are born outside the California state?,SELECT name FROM head WHERE born_state <> 'California',SELECT name FROM head WHERE born_state > 'California'
"CREATE TABLE department (creation VARCHAR, department_id VARCHAR); CREATE TABLE management (department_id VARCHAR, head_id VARCHAR); CREATE TABLE head (head_id VARCHAR, born_state VARCHAR)",What are the distinct creation years of the departments managed by a secretary born in state 'Alabama'?,SELECT DISTINCT T1.creation FROM department AS T1 JOIN management AS T2 ON T1.department_id = T2.department_id JOIN head AS T3 ON T2.head_id = T3.head_id WHERE T3.born_state = 'Alabama',SELECT DISTINCT T1.creation FROM department AS T1 JOIN management AS T2 ON T1.department_id = T2.department_id WHERE T2.born_state = 'Alabama'
CREATE TABLE head (born_state VARCHAR),What are the names of the states where at least 3 heads were born?,SELECT born_state FROM head GROUP BY born_state HAVING COUNT(*) >= 3,SELECT born_state FROM head GROUP BY born_state HAVING COUNT(*) >= 3
CREATE TABLE department (creation VARCHAR),In which year were most departments established?,SELECT creation FROM department GROUP BY creation ORDER BY COUNT(*) DESC LIMIT 1,SELECT year FROM department GROUP BY year ORDER BY COUNT(*) DESC LIMIT 1
"CREATE TABLE management (department_id VARCHAR, temporary_acting VARCHAR); CREATE TABLE department (name VARCHAR, num_employees VARCHAR, department_id VARCHAR)",Show the name and number of employees for the departments managed by heads whose temporary acting value is 'Yes'?,"SELECT T1.name, T1.num_employees FROM department AS T1 JOIN management AS T2 ON T1.department_id = T2.department_id WHERE T2.temporary_acting = 'Yes'","SELECT T2.name, T1.num_employees FROM department AS T1 JOIN management AS T2 ON T1.department_id = T2.department_id WHERE T2.temporary_acting = 'Yes'"
